image,label
0001035.png,0001035.npy
0002035.png,0002035.npy
0003035.png,0003035.npy
0004035.png,0004035.npy
0005035.png,0005035.npy
0006035.png,0006035.npy
0007035.png,0007035.npy
0008035.png,0008035.npy
0010035.png,0010035.npy
0011036.png,0011036.npy
0012036.png,0012036.npy
0014036.png,0014036.npy
0015036.png,0015036.npy
0016036.png,0016036.npy
0017036.png,0017036.npy
0019037.png,0019037.npy
0021037.png,0021037.npy
0022037.png,0022037.npy
0023037.png,0023037.npy
0025037.png,0025037.npy
0026037.png,0026037.npy
0028038.png,0028038.npy
0029038.png,0029038.npy
0031038.png,0031038.npy
0032038.png,0032038.npy
0033038.png,0033038.npy
0035038.png,0035038.npy
0036039.png,0036039.npy
0037039.png,0037039.npy
0038039.png,0038039.npy
0039039.png,0039039.npy
0040039.png,0040039.npy
0041039.png,0041039.npy
0042039.png,0042039.npy
0043039.png,0043039.npy
0045040.png,0045040.npy
0047040.png,0047040.npy
0049040.png,0049040.npy
0050040.png,0050040.npy
0051040.png,0051040.npy
0053041.png,0053041.npy
0054041.png,0054041.npy
0055041.png,0055041.npy
0056041.png,0056041.npy
0057041.png,0057041.npy
0058042.png,0058042.npy
0059042.png,0059042.npy
0060042.png,0060042.npy
0061042.png,0061042.npy
0063043.png,0063043.npy
0064043.png,0064043.npy
0065043.png,0065043.npy
0067043.png,0067043.npy
0068043.png,0068043.npy
0072043.png,0072043.npy
0073044.png,0073044.npy
0074044.png,0074044.npy
0075044.png,0075044.npy
0076045.png,0076045.npy
0077045.png,0077045.npy
0078045.png,0078045.npy
0079045.png,0079045.npy
0081046.png,0081046.npy
0082046.png,0082046.npy
0083047.png,0083047.npy
0084047.png,0084047.npy
0086048.png,0086048.npy
0087048.png,0087048.npy
0088048.png,0088048.npy
0089049.png,0089049.npy
0090050.png,0090050.npy
0092050.png,0092050.npy
0093051.png,0093051.npy
0095051.png,0095051.npy
0098053.png,0098053.npy
0099053.png,0099053.npy
0102120.png,0102120.npy
0103121.png,0103121.npy
0104121.png,0104121.npy
0105121.png,0105121.npy
0106121.png,0106121.npy
0108122.png,0108122.npy
0109122.png,0109122.npy
0111122.png,0111122.npy
0112122.png,0112122.npy
0113122.png,0113122.npy
0114123.png,0114123.npy
0115123.png,0115123.npy
0116123.png,0116123.npy
0117123.png,0117123.npy
0118123.png,0118123.npy
0119123.png,0119123.npy
0120124.png,0120124.npy
0122124.png,0122124.npy
0124124.png,0124124.npy
0125124.png,0125124.npy
0126124.png,0126124.npy
0127124.png,0127124.npy
0128124.png,0128124.npy
0129124.png,0129124.npy
0130125.png,0130125.npy
0131125.png,0131125.npy
0132125.png,0132125.npy
0134125.png,0134125.npy
0137125.png,0137125.npy
0138125.png,0138125.npy
0139125.png,0139125.npy
0141125.png,0141125.npy
0142125.png,0142125.npy
0143125.png,0143125.npy
0144125.png,0144125.npy
0146125.png,0146125.npy
0147125.png,0147125.npy
0148125.png,0148125.npy
0149125.png,0149125.npy
0153125.png,0153125.npy
0154125.png,0154125.npy
0155125.png,0155125.npy
0156125.png,0156125.npy
0157126.png,0157126.npy
0159126.png,0159126.npy
0160126.png,0160126.npy
0161126.png,0161126.npy
0162126.png,0162126.npy
0163126.png,0163126.npy
0164126.png,0164126.npy
0165126.png,0165126.npy
0166126.png,0166126.npy
0168126.png,0168126.npy
0170126.png,0170126.npy
0171126.png,0171126.npy
0172126.png,0172126.npy
0173126.png,0173126.npy
0174126.png,0174126.npy
0175126.png,0175126.npy
0177126.png,0177126.npy
0179126.png,0179126.npy
0181126.png,0181126.npy
0182126.png,0182126.npy
0183127.png,0183127.npy
0184127.png,0184127.npy
0186127.png,0186127.npy
0187127.png,0187127.npy
0188127.png,0188127.npy
0189127.png,0189127.npy
0190127.png,0190127.npy
0191127.png,0191127.npy
0194127.png,0194127.npy
0195127.png,0195127.npy
0198127.png,0198127.npy
0199127.png,0199127.npy
0201127.png,0201127.npy
0202127.png,0202127.npy
0203127.png,0203127.npy
0205127.png,0205127.npy
0206127.png,0206127.npy
0207127.png,0207127.npy
0208127.png,0208127.npy
0209127.png,0209127.npy
0210127.png,0210127.npy
0212127.png,0212127.npy
0213127.png,0213127.npy
0214127.png,0214127.npy
0216127.png,0216127.npy
0217127.png,0217127.npy
0218127.png,0218127.npy
0221128.png,0221128.npy
0222128.png,0222128.npy
0223128.png,0223128.npy
0224128.png,0224128.npy
0225128.png,0225128.npy
0226128.png,0226128.npy
